huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw,type
21.96,1.47,24.28,1.37,20.98,1.38,35.76,1.13,23.84,1.11,SO
25.1,1.54,23.88,1.43,23.72,1.64,38.67,1.24,26.96,1.18,SO
24.13,1.78,25.68,1.54,23.47,1.48,38.84,1.6,27.62,1.18,SO
20.06,1.61,21.62,1.24,21.26,1.51,36.51,1.26,26.01,0.97,SO
21.01,1.94,26.36,1.57,18.69,1.34,30.34,1.13,20.46,0.88,SO
20.67,1.86,25.97,1.55,18.59,1.06,30.71,0.93,19.98,0.81,SO
20.74,1.82,25.97,1.51,18.24,1.09,29.2,1.09,19.6,0.81,SO
25.06,2.06,27.74,1.38,22.46,1.47,35.28,1.12,24.31,1.33,T
24.26,1.95,28.23,1.64,22.83,1.56,37.97,1.32,26.38,1.65,SO
15.85,1.78,19.23,1.6,17.88,1.53,31.95,1.44,24.42,1.28,T
17.1,1.88,20.07,1.69,17.16,1.59,30.05,1.48,22.07,1.34,SO
15.92,1.58,18.82,1.36,16.05,1.47,28.93,1.33,21.69,1.18,SO
20.38,2.37,26.08,2.11,20.73,1.92,38.6,1.65,30.55,1.39,SO
21.68,2.17,27.72,2.0,20.97,1.84,38.18,1.63,28.85,1.38,SO
17.62,2.13,24.64,1.66,18.66,1.5,37.56,1.6,25.33,1.35,SO
19.7,2.18,25.38,1.87,19.19,1.82,37.19,1.61,30.16,1.34,SO
20.94,2.27,26.4,1.91,20.91,1.86,40.49,1.77,30.93,1.52,SO
18.6,1.99,23.27,1.78,18.46,1.8,36.69,1.54,27.76,1.28,T
28.44,2.65,30.93,2.16,28.79,2.48,49.37,2.37,34.94,2.08,SO
26.39,2.47,29.29,2.07,28.04,2.45,46.94,2.34,33.15,2.11,SO
26.08,2.51,28.46,2.14,23.59,2.05,42.64,1.88,30.69,1.64,SO
29.48,2.69,34.62,2.34,27.96,2.39,49.96,2.26,36.56,2.0,T
27.01,2.62,32.01,2.2,25.41,2.53,48.21,2.38,48.65,2.25,SO
22.18,2.32,25.75,1.98,21.94,2.03,37.56,1.68,26.3,1.54,SO
22.55,2.22,26.23,1.91,22.45,1.96,38.78,1.76,27.04,1.53,SO
24.29,2.49,29.18,2.26,23.46,2.05,39.28,2.13,27.51,1.73,SO
32.61,3.3,39.33,3.03,29.81,2.69,51.34,2.7,36.41,2.33,SO
32.38,3.0,38.6,2.93,29.06,2.51,50.15,2.29,35.59,2.03,SO
31.44,3.17,37.64,3.11,28.74,2.61,48.95,2.6,34.28,2.27,SO
30.4,2.79,34.99,2.56,29.04,2.38,49.38,2.4,36.39,2.18,SO
30.56,2.84,35.1,2.39,29.96,2.5,48.97,2.46,35.07,2.3,SO
24.97,2.2,27.36,2.4,25.0,2.16,40.02,2.29,27.52,2.0,SO
25.87,2.48,29.35,2.45,25.54,2.21,41.2,2.13,28.35,2.3,SO
26.62,2.64,30.47,2.48,25.04,2.21,41.9,2.07,29.28,2.18,SO
26.53,2.6,30.83,2.45,25.15,2.26,41.63,2.01,29.31,2.07,SO
22.65,2.31,25.43,2.15,22.28,1.99,36.8,2.01,26.72,1.82,SO
20.92,2.17,23.75,2.05,21.26,1.98,34.94,2.06,25.1,1.76,SO
21.1,2.25,23.74,1.9,20.97,1.75,35.82,1.75,25.71,1.66,SO
22.15,2.36,26.2,2.05,21.16,2.02,34.56,1.73,23.55,1.48,SO
20.4,2.19,25.87,2.1,20.72,1.95,37.35,1.72,28.92,1.26,SO
20.26,2.18,25.49,1.96,19.83,1.78,36.95,1.7,27.95,1.41,SO
30.51,3.27,37.61,2.88,28.01,2.3,48.28,2.28,34.09,1.91,SO
29.82,3.22,37.77,2.67,28.52,2.55,47.79,2.28,34.9,1.93,SO
16.29,1.65,18.62,1.43,16.14,1.49,30.35,1.53,23.24,1.38,SO
19.27,1.88,21.56,1.7,21.8,1.85,36.82,1.82,25.34,1.77,SO
23.57,2.3,25.1,2.13,26.34,2.09,42.21,1.97,30.06,1.69,SO
22.49,2.16,25.23,1.82,24.44,2.08,40.47,2.03,29.91,1.73,SO
20.73,1.89,22.98,1.69,20.3,1.84,35.93,1.63,25.87,1.87,SO
19.93,2.06,23.88,1.63,19.15,1.84,33.4,1.64,24.39,1.44,SO
24.12,2.49,29.9,2.18,20.65,1.86,28.84,1.84,23.68,1.56,SO
24.2,2.62,29.13,1.97,21.48,2.15,33.41,1.91,23.32,1.63,SO
25.54,2.72,32.43,2.4,21.44,1.99,29.88,1.87,25.79,1.72,SO
24.58,2.46,30.59,2.21,20.62,1.92,29.59,1.77,24.78,1.69,SO
48.5,4.38,62.24,4.05,40.41,3.4,62.39,3.51,37.56,2.76,SO
24.24,2.75,28.16,2.25,24.32,2.17,35.92,2.16,23.29,1.73,SO
22.85,2.57,28.6,2.06,20.19,1.82,31.25,1.69,18.98,1.36,SO
19.64,1.99,25.19,1.81,15.59,1.58,28.93,1.52,22.25,1.24,SO
23.82,2.46,29.63,2.02,20.89,1.79,32.75,1.43,19.63,1.3,SO
22.56,2.24,27.99,2.01,17.57,1.58,27.59,1.56,17.79,1.32,SO
12.99,1.99,17.74,1.46,12.13,1.33,24.1,1.17,17.27,0.96,SO
13.82,1.58,18.18,1.37,15.4,1.35,25.44,1.53,18.11,0.99,SO
14.91,1.67,20.6,1.53,14.58,1.34,25.39,1.18,17.69,1.09,SO
15.18,1.79,19.85,1.45,13.99,1.28,25.84,1.21,18.45,0.99,SO
14.92,1.69,19.53,1.42,14.43,1.27,26.41,1.33,18.53,1.03,SO
14.81,1.79,19.09,1.42,14.37,1.31,26.15,1.3,18.68,1.1,SO
13.97,1.57,17.82,1.38,13.07,1.46,25.77,1.28,18.45,1.58,SO
13.68,1.44,16.81,1.53,12.78,1.42,25.21,1.22,17.85,1.18,SO
13.78,1.57,16.3,1.3,12.97,1.4,23.42,1.18,16.64,1.19,SO
15.54,1.7,18.67,1.43,14.05,1.35,25.87,1.21,19.4,1.16,SO
13.61,1.47,16.77,1.36,12.62,1.23,22.77,1.25,16.27,1.05,SO
17.23,1.82,19.79,1.42,16.11,1.49,29.19,1.38,21.71,1.22,SO
25.14,2.62,29.18,2.31,25.95,2.31,40.5,2.13,26.96,1.95,SO
18.98,1.92,25.08,1.7,16.46,1.42,29.97,1.36,22.39,1.08,SO
17.59,1.14,18.96,0.8,17.32,1.04,29.51,0.94,21.39,0.75,SO
13.31,1.17,16.47,1.06,12.32,0.93,22.47,0.95,15.97,0.75,SO
23.9,2.32,28.83,1.67,21.18,1.85,33.11,1.61,23.02,1.33,SO
25.24,2.42,32.13,2.1,21.14,1.69,29.58,1.57,25.49,1.42,SO
24.28,2.16,30.29,1.91,20.32,1.62,29.29,1.47,24.48,1.39,SO
48.2,4.08,61.94,3.75,40.11,3.1,62.09,3.21,37.26,2.46,SO
23.94,2.45,27.86,1.95,24.02,1.87,35.62,1.86,22.99,1.43,SO
22.55,2.27,28.3,1.76,19.89,1.52,30.95,1.39,18.68,1.06,SO
23.52,2.16,29.33,1.72,20.59,1.49,32.45,1.13,19.33,1.0,SO
24.84,2.32,28.88,2.01,25.65,2.01,40.2,1.83,26.66,1.65,SO
22.26,1.94,27.69,1.71,17.27,1.28,27.29,1.26,17.49,1.02,SO
12.69,1.69,17.44,1.16,11.83,1.03,23.8,0.87,16.97,0.66,SO
13.52,1.28,17.88,1.07,15.1,1.05,25.14,1.23,17.81,0.69,SO
14.61,1.37,20.3,1.23,14.28,1.04,25.09,0.88,17.39,0.79,SO
14.88,1.49,19.55,1.15,13.69,0.98,25.54,0.91,18.15,0.69,SO
14.62,1.39,19.23,1.12,14.13,0.97,26.11,1.03,18.23,0.73,SO
14.51,1.49,18.79,1.12,14.07,1.01,25.85,1.0,18.38,0.8,SO
13.67,1.27,17.52,1.08,12.77,1.16,25.47,0.98,18.15,1.28,SO
13.38,1.14,16.51,1.23,12.48,1.12,24.91,0.92,17.55,0.88,SO
18.68,1.62,24.78,1.4,16.16,1.12,29.67,1.06,22.09,0.78,SO
18.3,1.69,22.97,1.48,18.16,1.5,36.39,1.24,27.46,0.98,SO
20.64,1.97,26.1,1.61,20.61,1.56,40.19,1.47,30.63,1.22,SO
19.4,1.88,25.08,1.57,18.89,1.52,36.89,1.31,29.86,1.04,SO
17.32,1.83,24.34,1.36,18.36,1.2,37.26,1.3,25.03,1.05,SO
21.38,1.87,27.42,1.7,20.67,1.54,37.88,1.33,28.55,1.08,SO
23.82,2.19,29.6,1.88,20.35,1.56,28.54,1.54,23.38,1.26,SO
20.08,2.07,25.78,1.81,20.43,1.62,38.3,1.35,30.25,1.09,SO
19.96,1.88,25.19,1.66,19.53,1.48,36.65,1.4,27.65,1.11,SO
30.21,2.97,37.31,2.58,27.71,2.0,47.98,1.98,33.79,1.61,SO
29.52,2.92,37.47,2.37,28.22,2.25,47.49,1.98,34.6,1.63,SO
16.93,1.52,19.49,1.12,15.81,1.19,28.89,1.08,21.41,0.92,SO
15.24,1.4,18.37,1.13,13.75,1.05,25.57,0.91,19.1,0.86,SO
13.48,1.27,16.0,1.0,12.67,1.1,23.12,0.88,16.34,0.89,SO
20.1,1.89,25.57,1.8,20.42,1.65,37.05,1.42,28.62,0.96,SO
19.63,1.76,23.58,1.33,18.85,1.54,33.1,1.34,24.09,1.14,SO
20.43,1.59,22.68,1.39,20.0,1.54,35.63,1.33,25.57,1.57,SO
22.19,1.86,24.93,1.52,24.14,1.78,40.17,1.73,29.61,1.43,SO
16.86,1.58,20.72,1.36,14.92,1.13,24.56,0.98,16.76,0.81,SO
15.7,1.42,18.58,1.2,15.22,1.08,25.39,0.92,16.88,0.74,SO
19.54,1.86,23.35,1.47,18.34,1.46,29.05,1.35,19.68,1.08,SO
23.27,2.15,27.62,2.16,21.86,1.64,35.55,1.51,23.23,1.32,SO
23.04,2.15,28.29,1.94,21.46,1.67,33.41,1.42,22.48,1.27,T
21.21,1.88,23.35,1.62,21.97,1.55,35.02,1.4,22.35,1.24,SO
17.3,1.68,20.43,1.33,15.51,1.15,25.96,0.88,17.41,0.81,SO
21.92,1.8,25.73,1.49,19.98,1.35,30.47,1.36,20.11,1.25,T
13.63,1.16,15.22,1.06,13.75,0.99,23.13,0.96,15.62,1.01,SO
17.96,1.63,19.25,1.33,18.36,1.54,31.25,1.33,21.99,1.15,SO
19.21,1.64,20.76,1.49,19.24,1.45,33.21,1.28,23.6,1.15,SO
18.79,1.63,19.83,1.53,20.96,1.43,34.45,1.41,22.86,1.21,SO
20.38,1.78,22.53,1.5,21.35,1.48,36.09,1.53,25.98,1.24,T
17.89,1.44,19.26,1.1,17.62,1.34,29.81,1.24,21.69,1.05,SO
12.95,1.16,14.09,1.03,13.03,1.03,22.13,0.96,15.19,1.02,SO
26.09,2.17,28.99,1.77,27.74,2.15,46.64,2.04,32.85,1.81,SO
20.95,1.89,24.12,1.66,21.24,1.84,36.71,1.53,25.99,1.23,T
21.53,1.91,25.3,1.67,20.8,1.65,34.08,1.33,23.86,1.27,SO
23.27,2.0,24.8,1.83,26.04,1.79,41.91,1.67,29.76,1.39,SO
18.97,1.58,21.26,1.4,21.5,1.55,36.52,1.52,25.04,1.47,SO
15.99,1.35,18.32,1.13,15.84,1.19,30.05,1.23,22.94,1.08,SO
15.62,1.28,18.52,1.06,15.75,1.17,28.63,1.03,21.39,0.88,SO
16.8,1.58,19.77,1.39,16.86,1.29,29.75,1.18,21.77,1.04,T
15.55,1.48,18.93,1.3,17.58,1.23,31.65,1.14,24.12,0.98,SO
22.84,2.21,27.7,2.06,22.13,1.72,34.6,1.69,25.08,1.39,SO
23.32,2.06,27.9,1.84,22.49,1.66,34.77,1.42,23.05,1.18,SO
30.28,2.89,35.37,2.15,31.09,2.51,53.36,2.31,39.52,1.69,T
28.1,2.44,32.5,2.19,29.68,2.33,50.47,2.21,37.98,1.79,SO
28.66,2.48,33.24,2.02,29.33,2.26,50.64,2.05,35.99,1.85,SO
36.36,3.31,40.51,2.56,37.52,2.85,53.96,2.63,42.71,2.41,SO
37.05,3.48,41.41,2.91,37.37,3.14,61.65,2.89,44.72,2.24,SO
20.41,1.82,22.66,1.71,18.14,1.52,29.3,1.21,20.29,1.15,T
29.61,2.41,33.93,2.02,30.79,2.19,51.64,2.01,37.33,1.78,SO
25.78,2.21,28.16,1.84,23.29,1.75,42.34,1.58,30.39,1.34,SO
28.14,2.35,30.63,1.86,28.49,2.18,49.07,2.07,34.64,1.78,SO
26.71,2.32,31.71,1.9,25.11,2.23,47.91,2.08,48.35,1.95,SO
24.03,2.37,29.26,1.94,22.58,1.88,37.13,1.73,25.39,1.43,SO
24.56,2.25,28.53,1.94,23.13,1.86,38.27,1.62,26.68,1.95,T
23.88,2.4,29.16,1.74,22.84,2.02,37.24,1.54,26.15,1.32,SO
25.36,2.36,28.04,1.68,22.76,1.77,35.58,1.42,24.61,1.63,SO
21.04,2.12,26.27,1.81,18.54,1.39,29.5,1.39,19.9,1.11,SO
20.97,2.16,26.27,1.85,18.89,1.36,31.01,1.23,20.28,1.11,SO
21.31,2.24,26.66,1.87,18.99,1.64,30.64,1.43,20.76,1.18,SO
29.18,2.39,34.32,2.04,27.66,2.09,49.66,1.96,36.26,1.7,SO
24.43,2.08,25.98,1.84,23.77,1.78,39.14,1.9,27.92,1.48,T
25.4,1.84,24.18,1.73,24.02,1.94,38.97,1.54,27.26,1.48,SO
22.26,1.77,24.58,1.67,21.28,1.68,36.06,1.43,24.14,1.41,SO
18.12,1.61,22.32,1.38,16.42,1.13,26.64,1.1,17.74,0.98,SO
22.14,1.91,25.71,1.74,20.6,1.67,35.44,1.42,23.86,1.92,SO
15.46,1.46,19.12,1.36,14.75,1.18,26.25,1.22,17.9,1.12,SO
17.13,1.49,20.38,1.33,15.24,1.16,27.96,1.2,20.1,1.24,T
15.97,1.47,19.91,1.32,15.11,1.24,25.99,1.14,18.36,1.4,SO
16.5,1.46,19.44,1.42,15.58,1.21,26.21,1.17,18.45,1.14,SO
21.82,2.0,26.73,1.77,17.53,1.59,25.82,1.39,18.79,1.37,SO
22.13,2.1,26.53,1.78,17.83,1.63,26.12,1.52,18.74,1.2,SO
21.46,1.97,25.44,1.73,17.77,1.71,27.01,1.56,19.06,1.26,SO
21.07,2.0,25.36,1.7,17.66,1.72,26.28,1.35,19.43,1.36,T
38.66,3.83,43.71,3.02,40.05,3.51,64.97,2.95,47.69,2.57,SO
37.71,3.55,42.47,2.89,38.12,3.13,62.45,3.06,46.41,2.42,SO
41.19,3.78,43.24,2.91,39.61,3.15,64.68,2.99,46.74,2.54,SO
21.68,1.93,24.84,1.86,20.85,1.78,35.22,1.57,24.11,1.51,SO
18.69,1.75,22.76,1.57,16.75,1.3,26.6,1.05,18.0,0.92,SO
20.36,1.91,21.92,1.54,21.56,1.81,36.81,1.56,26.31,1.27,SO
27.9,2.51,31.56,2.07,24.08,2.28,45.9,2.09,34.98,1.6,SO
21.88,2.02,25.45,1.68,21.64,1.73,37.26,1.38,26.0,1.24,SO
18.94,1.83,22.95,1.69,17.25,1.25,28.59,1.16,18.86,0.97,SO
23.99,2.19,28.88,1.96,23.16,1.75,38.98,1.83,27.21,1.43,SO
32.31,3.0,39.03,2.73,29.51,2.39,51.04,2.4,36.11,2.03,SO
32.08,2.7,38.3,2.63,28.76,2.21,49.85,1.99,35.29,1.73,SO
31.14,2.87,37.34,2.81,28.44,2.31,48.65,2.3,33.98,1.97,SO
30.1,2.49,34.69,2.26,28.74,2.08,49.08,2.1,36.09,1.88,SO
29.38,2.44,29.84,2.44,28.95,2.13,47.18,2.19,31.46,1.88,SO
30.26,2.54,34.8,2.09,29.66,2.2,48.67,2.16,34.77,2.0,SO
24.67,1.9,27.06,2.1,24.7,1.86,39.72,1.99,27.22,1.7,SO
25.57,2.18,29.05,2.15,25.24,1.91,40.9,1.83,28.05,2.0,SO
26.32,2.34,30.17,2.18,24.74,1.91,41.6,1.77,28.98,1.88,SO
22.25,1.92,25.93,1.61,22.15,1.66,38.48,1.46,26.74,1.23,SO
26.23,2.3,30.53,2.15,24.85,1.96,41.33,1.71,29.01,1.77,SO
26.75,2.39,30.48,1.97,23.11,2.08,44.2,1.79,34.47,1.58,SO
27.06,2.5,30.28,2.1,23.96,2.24,46.02,1.76,33.91,1.76,SO
19.0,1.68,24.0,1.45,14.86,1.23,27.19,1.01,20.05,0.86,SO
19.34,1.69,24.89,1.51,15.29,1.28,28.63,1.22,21.95,0.94,SO
26.49,2.38,30.38,2.04,22.99,2.14,42.19,1.87,33.71,1.46,SO
21.85,2.06,25.9,1.75,20.86,1.72,34.26,1.43,23.25,1.18,SO
20.8,1.95,23.44,1.6,20.67,1.45,35.52,1.45,25.41,1.36,SO
20.62,1.87,23.45,1.75,20.96,1.68,34.64,1.76,24.8,1.46,T
22.35,2.01,25.13,1.85,21.98,1.69,36.5,1.71,26.42,1.52,T
20.19,1.85,26.41,1.53,15.71,1.29,29.66,1.15,21.9,1.05,T
79.73,5.94,67.39,4.5,42.07,3.41,71.26,3.56,37.22,3.64,T
61.92,4.78,50.46,3.47,49.52,4.41,56.95,2.73,29.07,2.83,T
62.8,4.84,52.09,3.73,33.95,2.72,56.27,2.96,31.88,3.13,T
77.65,5.7,65.76,4.77,40.04,3.52,69.17,3.4,35.78,3.41,T
79.97,6.37,69.26,5.28,43.07,3.9,75.35,4.04,38.31,3.34,T
88.91,6.63,80.53,5.59,47.04,4.3,80.22,4.51,41.5,4.01,T
127.03,6.18,102.53,5.64,36.52,4.89,150.0,6.78,67.27,3.06,T
64.72,4.04,61.4,3.13,32.83,2.48,64.58,2.65,31.12,2.14,T
106.02,4.47,95.79,4.33,41.96,4.8,129.59,6.94,70.29,3.35,T
108.62,5.04,97.7,4.66,45.08,5.78,128.0,7.14,65.48,4.25,T
272.0,14.86,320.0,10.42,91.6,9.71,132.0,10.23,81.77,8.91,T
185.0,12.47,242.0,9.8,52.39,7.5,68.01,4.66,19.44,7.21,SW
183.0,11.37,280.0,9.22,52.34,7.24,68.09,4.61,20.08,6.41,SW
179.0,11.16,222.0,8.57,47.51,6.39,65.18,4.51,19.67,6.64,SW
185.0,10.91,235.0,8.02,51.0,6.71,68.67,4.24,20.14,6.3,SW
210.0,13.03,278.0,10.74,56.87,8.03,76.66,5.2,22.54,7.16,SW
188.0,11.35,250.0,9.64,52.49,7.6,69.06,5.13,19.52,6.51,SW
175.0,10.69,228.0,8.65,47.13,6.16,64.53,4.41,18.42,3.65,SW
75.05,12.55,44.05,8.62,75.31,6.76,112.6,7.22,34.31,14.09,SW
72.5,14.78,45.83,10.33,77.02,7.76,128.75,6.49,32.48,13.82,SW
41.13,6.71,31.0,7.73,49.51,4.69,71.94,4.54,22.46,9.45,SW
46.2,7.06,32.73,8.58,52.15,5.11,75.99,4.77,23.24,10.24,SW
47.51,7.23,32.49,8.26,50.29,5.0,75.2,4.95,22.51,10.73,SW
71.65,3.37,66.11,2.77,36.98,3.06,77.11,3.94,38.04,2.83,SW
70.73,3.69,65.19,2.93,32.52,3.54,80.42,4.36,43.7,2.28,SW
63.62,3.42,59.0,2.75,30.16,2.92,74.66,4.38,39.26,1.97,SW
110.33,5.86,97.1,4.6,43.82,5.73,126.0,7.86,64.17,3.84,SW
113.84,4.8,100.71,4.39,43.95,5.08,133.27,7.41,70.91,2.69,SW
69.12,4.35,65.47,3.65,36.4,2.81,67.5,2.63,33.16,2.23,SW
143.0,6.94,143.86,5.47,47.68,4.44,108.1,5.31,63.04,3.82,SW
154.3,7.46,154.66,6.09,51.08,5.27,112.75,5.36,65.16,4.07,SW
80.67,4.95,86.34,3.69,32.17,2.46,69.98,2.74,38.78,2.08,SW
75.64,4.95,80.36,3.96,30.64,2.55,67.93,2.67,37.08,2.17,SW
107.54,3.72,69.91,2.99,26.22,1.67,52.11,2.26,30.41,1.6,SW
69.07,3.77,66.78,3.31,28.2,1.96,53.12,1.73,30.78,1.69,SW
102.5,5.52,106.44,4.41,70.42,2.75,70.44,2.79,39.97,2.7,SW
99.98,5.3,109.14,4.58,37.64,2.64,72.22,3.09,40.13,2.59,SW
71.87,3.64,74.09,3.26,23.99,1.53,50.34,2.02,28.1,1.9,SW
102.84,5.62,103.35,4.48,38.5,3.11,75.24,3.17,42.59,2.82,SW
107.11,5.39,110.2,5.02,40.32,2.85,81.56,3.41,44.32,2.65,SW
67.76,3.46,69.31,2.9,24.71,1.75,50.78,2.28,26.89,1.7,SW
65.41,3.51,68.34,3.06,24.25,1.67,48.64,1.64,27.8,1.95,SW
66.76,3.24,67.68,2.94,24.52,1.47,51.58,1.56,29.81,1.33,SW
67.29,3.43,68.25,2.89,24.16,1.59,49.76,2.06,26.91,1.47,SW
99.97,5.45,107.65,4.56,35.2,2.73,69.24,2.91,39.53,2.98,SW
68.2,3.47,70.85,3.04,24.56,1.65,51.14,1.8,29.83,2.07,SW
67.85,3.54,72.01,3.12,23.93,1.6,49.96,1.83,28.86,1.75,SW
107.46,4.41,109.91,3.82,35.85,2.81,75.88,3.47,49.31,3.05,SW
80.4,4.93,85.66,3.95,32.5,2.68,70.27,2.58,39.47,2.08,SW
109.4,4.35,109.57,3.74,34.86,2.95,76.5,3.26,46.97,2.68,SW
89.18,4.46,92.1,3.79,28.39,2.28,57.5,2.39,31.64,2.36,SW
89.29,4.81,97.72,4.16,29.66,2.25,57.79,2.49,34.1,2.64,SW
38.04,2.07,36.66,1.71,14.82,1.0,35.16,0.97,22.66,0.9,SW
105.72,4.17,95.49,4.03,41.66,4.5,129.29,6.64,69.99,3.05,SW
26.33,1.33,26.89,1.42,11.91,0.72,31.26,0.77,21.32,0.53,SW
26.51,1.36,26.18,1.21,12.24,0.67,31.25,0.71,20.87,0.58,SW
44.96,2.99,36.43,2.8,24.91,1.8,48.79,2.08,27.23,1.73,SW
43.15,2.9,33.89,2.92,23.53,1.88,47.8,1.79,25.94,1.62,SW
99.15,4.62,93.25,3.77,40.75,3.12,86.32,3.31,46.14,2.69,SW
106.64,5.42,104.27,4.07,44.69,3.32,93.54,3.83,50.87,3.03,SW
108.95,5.67,104.48,4.5,48.12,3.75,93.93,4.06,51.71,3.18,SW
106.95,5.83,104.87,4.51,45.15,4.04,92.01,4.23,47.96,2.92,SW
52.82,2.7,52.44,2.5,22.49,1.65,51.94,1.84,30.61,1.43,SW
53.89,2.86,53.98,2.91,22.78,1.68,53.4,1.74,30.99,1.26,SW
64.42,3.74,61.1,2.83,32.53,2.18,64.28,2.35,30.82,1.84,SW
68.82,4.05,65.17,3.35,36.1,2.51,67.2,2.33,32.86,1.93,SW
142.7,6.64,143.56,5.17,47.38,4.14,107.8,5.01,62.74,3.52,SW
154.0,7.16,154.36,5.79,50.78,4.97,112.45,5.06,64.86,3.77,SW
90.19,4.4,96.72,3.81,29.67,2.23,58.53,2.37,34.02,2.45,SW
88.7,4.5,93.6,3.66,31.67,2.47,62.36,2.43,36.19,2.93,SW
34.08,1.58,34.81,1.41,14.05,0.87,37.17,0.99,25.15,0.83,SW
100.39,4.5,100.98,3.83,36.06,3.06,85.32,3.9,52.24,2.73,SW
69.74,4.44,60.96,3.67,27.82,2.68,70.81,3.14,39.93,1.61,SW
67.06,3.54,67.98,3.24,24.82,1.77,51.88,1.86,30.11,1.63,SW
65.71,3.81,68.64,3.36,24.55,1.97,48.94,1.94,28.1,2.25,SW
68.06,3.76,69.61,3.2,25.01,2.05,51.08,2.58,27.19,2.0,SW
107.41,5.69,110.5,5.32,40.62,3.15,81.86,3.71,44.62,2.95,SW
103.14,5.92,103.65,4.78,38.8,3.41,75.54,3.47,42.89,3.12,T
72.17,3.94,74.39,3.56,24.29,1.83,50.64,2.32,28.4,2.2,SW
100.28,5.6,109.44,4.88,37.94,2.94,72.52,3.39,40.43,2.89,SW
102.8,5.82,106.74,4.71,70.72,3.05,70.74,3.09,40.27,3.0,SW
69.37,4.07,67.08,3.61,28.5,2.26,53.42,2.03,31.08,1.99,SW
107.84,4.02,70.21,3.29,26.52,1.97,52.41,2.56,30.71,1.9,SW
75.94,5.25,80.66,4.26,30.94,2.85,68.23,2.97,37.38,2.47,SW
80.97,5.25,86.64,3.99,32.47,2.76,70.28,3.04,39.08,2.38,T
80.7,5.23,85.96,4.25,32.8,2.98,70.57,2.88,39.77,2.38,SW
89.48,4.76,92.4,4.09,28.69,2.58,57.8,2.69,31.94,2.66,SW
89.0,4.8,93.9,3.96,31.97,2.77,62.66,2.73,36.49,3.23,SW
89.59,5.11,98.02,4.46,29.96,2.55,58.09,2.79,34.4,2.94,T
90.49,4.7,97.02,4.11,29.97,2.53,58.83,2.67,34.32,2.75,SW
67.59,3.73,68.55,3.19,24.46,1.89,50.06,2.36,27.21,1.77,SW
99.78,4.77,100.51,3.74,36.85,3.47,87.25,3.66,52.61,2.52,SW
100.27,5.75,107.95,4.86,35.5,3.03,69.54,3.21,39.83,3.28,T
68.15,3.84,72.31,3.42,24.23,1.9,50.26,2.13,29.16,2.05,SW
75.65,5.12,65.86,3.86,30.41,2.8,78.64,3.26,44.52,1.92,SW
105.93,6.52,103.72,4.77,39.76,4.66,105.04,4.69,56.97,2.9,SW
104.89,6.8,96.55,5.13,37.31,4.13,101.74,4.6,54.48,2.53,SW
76.19,5.06,68.76,3.72,29.77,2.73,72.11,3.41,42.81,1.78,SW
65.36,3.49,60.76,3.05,24.65,2.14,63.46,2.42,39.89,1.59,SW
98.43,6.18,91.39,5.01,35.04,3.72,92.06,4.16,50.23,2.39,SW
98.73,6.48,91.69,5.31,35.34,4.02,92.36,4.46,50.53,2.69,SW
65.66,3.79,61.06,3.35,24.95,2.44,63.76,2.72,40.19,1.89,SW
76.49,5.36,69.06,4.02,30.07,3.03,72.41,3.71,43.11,2.08,SW
105.19,7.1,96.85,5.43,37.61,4.43,102.04,4.9,54.78,2.83,SW
106.23,6.82,104.02,5.07,40.06,4.96,105.34,4.99,57.27,3.2,SW
75.95,5.42,66.16,4.16,30.71,3.1,78.94,3.56,44.82,2.22,SW
70.04,4.74,61.26,3.97,28.12,2.98,71.11,3.44,40.23,1.91,SW
100.08,5.07,100.81,4.04,37.15,3.77,87.55,3.96,52.91,2.82,SW
100.69,4.8,101.28,4.13,36.36,3.36,85.62,4.2,52.54,3.03,SW
109.7,4.65,109.87,4.04,35.16,3.25,76.8,3.56,47.27,2.98,SW
107.76,4.71,110.21,4.12,36.15,3.11,76.18,3.77,49.61,3.35,SW
68.5,3.77,71.15,3.34,24.86,1.95,51.44,2.1,30.13,2.37,SW
126.73,5.88,102.23,5.34,36.22,4.59,149.7,6.48,66.97,2.76,SW
131.7,7.97,141.7,5.38,55.65,6.15,116.84,7.6,61.41,5.72,SW
134.93,5.92,108.48,5.53,37.69,4.83,156.7,6.88,72.14,3.23,SW
65.02,4.34,61.7,3.43,33.13,2.78,64.88,2.95,31.42,2.44,SW
54.49,3.46,54.58,3.51,23.38,2.28,54.0,2.34,31.59,1.86,SW
53.42,3.3,53.04,3.1,23.09,2.25,52.54,2.44,31.21,2.03,SW
107.55,6.43,105.47,5.11,45.75,4.64,92.61,4.83,48.56,3.52,SW
109.55,6.27,105.08,5.1,48.72,4.35,94.53,4.66,52.31,3.78,SW
107.24,6.02,104.87,4.67,45.29,3.92,94.14,4.43,51.47,3.63,SW
99.75,5.22,93.85,4.37,41.35,3.72,86.92,3.91,46.74,3.29,SW
43.75,3.5,34.49,3.52,24.13,2.48,48.4,2.39,26.54,2.22,SW
45.56,3.59,37.03,3.4,25.51,2.4,49.39,2.68,27.83,2.33,SW
27.11,1.96,26.78,1.81,12.84,1.27,31.85,1.31,21.47,1.18,SW
26.93,1.93,27.49,2.02,12.51,1.32,31.86,1.37,21.92,1.13,SW
41.51,2.8,43.4,2.73,18.5,1.74,44.99,1.88,31.12,1.66,SW
